pheno	h2(add)	h2(add)_se	h2(dom)	h2(dom)_se	h2(AD)	h2(AD)_se	h2(add)_sig	h2(dom)_sig	h2(AD)_sig	h2(het)	h2(het)_se	h2(hom)	h2(hom)_se	Cov(hh)	Cov(hh)_se	hom/het	hom/het_se	h2(FACTOR)	h2(FACTOR)_se	h2(het)_sig	h2(hom)_sig	h2(FACTOR)_sig	Cov(hh)_sig	hom/het_sig
Leg_predicted_mass__left_	0.2232029425679932	0.01044702839440296	-0.012315756581706002	0.012577250668407073	0.2108871859862872	0.014093721992993755	True	False	True	0.07518888195573356	0.012517863877064573	0.20069230284642506	0.016519531202088385	0.4933595060596789	0.07001362394275468	2.669175250731617	0.5436241302581126	0.2758811848021586	0.018004169109855032	True	True	True	True	True
Leg_fat-free_mass__right_	0.23399958250443675	0.010456824877867933	-0.04206361863603043	0.012544731882599245	0.19193596386840633	0.014129590830177167	True	True	True	0.08070152168447811	0.012002966097803897	0.21959887423902877	0.015424289490343043	0.4513575718860383	0.05927921108811425	2.7211243314296234	0.49312805980789676	0.3003003959235069	0.01671617212079202	True	True	True	True	True
Whole_body_fat-free_mass	0.24954087520021517	0.010250593879861184	0.0031644581767810375	0.012478432325386262	0.2527053333769962	0.013514748891303167	True	False	True	0.08791893940493384	0.012075284330197009	0.22240601462197032	0.01570046723229405	0.2371627660207235	0.04234102497667722	2.529671264545411	0.4339326692447296	0.3103249540269042	0.01683010565055699	True	True	True	True	True
Mean_corpuscular_volume	0.25834877428517905	0.01131986289613221	-0.0777210316673757	0.01355029938415437	0.18062774261780334	0.015161864104544722	True	True	True	0.1309726573664729	0.011930848420236303	0.18541544385550904	0.016412503486178245	0.2738317326120956	0.041042019573775755	1.4156805518322841	0.20640838081381538	0.3163881012219819	0.016948982459661324	True	True	True	True	True
SHBG	0.15785566787000704	0.012201190655718825	-0.055995645966003274	0.014489735628114394	0.10186002190400377	0.017528704076143826	True	True	True	0.062089637626578244	0.014616641129102138	0.13387522188264395	0.019971851252950215	0.016770950698762426	0.06159726740529726	2.156160464130926	0.6498534708998763	0.19596485950922218	0.02242985013741422	True	True	True	True	True
High_light_scatter_reticulocyte_percentage	0.16942880573518182	0.010671895379118668	-0.012600490766429521	0.012305172167421307	0.1568283149687523	0.01470900757910331	True	False	True	0.04928447043963894	0.01407615055693974	0.12072480147507406	0.02066869399317388	0.7562457213982167	0.1610843764529499	2.44955054600681	0.8707302734008487	0.170009271914713	0.02309288708372087	True	True	True	False	False
Whole_body_water_mass	0.24955651174931426	0.010192056048898565	0.002929938698337481	0.012440237622897423	0.2524864504476517	0.013453828670403076	True	False	True	0.08703589450029872	0.012096846917706634	0.2219171381029581	0.0157217181389081	0.18954871035459042	0.03997452304128162	2.549719737782398	0.441420019507242	0.3089530326032568	0.016871591932763788	True	True	True	True	True
Platelet_crit	0.1975693368306065	0.01025751912284975	0.009047945703213676	0.012696068276912555	0.2066172825338202	0.014186647258423425	True	False	True	0.11304112135987016	0.01276294775099991	0.16831863342849065	0.017668011394589834	0.3601813194688793	0.0542149507680776	1.4890035714759295	0.2599108406917232	0.28135975478836084	0.018641669886743095	True	True	True	True	True
Glycated_haemoglobin__HbA1c_	0.1730093270401102	0.010864458477848718	0.021444542445467858	0.012786057512804346	0.19445386948557808	0.01486271775420218	True	False	True	0.07439047577397846	0.013536809201399911	0.14614496937753046	0.018602550340652717	0.3883653587465984	0.07348033275189372	1.964565596025553	0.47808368243689864	0.2205354451515089	0.02053310805311034	True	True	True	True	True
Impedance_of_leg__left_	0.2241190390582196	0.01027656026657967	-0.007956258029403404	0.01234500689883432	0.2161627810288162	0.01381685537035413	True	False	True	0.10848384385543788	0.012146805216754755	0.18062597453178317	0.016347713901219998	0.25471885247158604	0.043334801322878376	1.6650034522419725	0.27100839016316564	0.28910981838722105	0.017373226466417868	True	True	True	True	True
